book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
57697915-7d36-43c3-a875-1d5e711d536b,0f1e2d4c-8c1d-4ef1-92aa-8a73c4a31001,1,"Whispers Beneath the Canopy",28,2025-01-01T10:00:00Z,SYSTEM,2025-01-01T10:00:00Z,SYSTEM
57697915-7d36-43c3-a875-1d5e711d536b,0f1e2d4c-8c1d-4ef1-92aa-8a73c4a31002,2,"The Forgotten Path",32,2025-01-01T10:00:00Z,SYSTEM,2025-01-01T10:00:00Z,SYSTEM
57697915-7d36-43c3-a875-1d5e711d536b,0f1e2d4c-8c1d-4ef1-92aa-8a73c4a31003,3,"Echoes of the Forest",30,2025-01-01T10:00:00Z,SYSTEM,2025-01-01T10:00:00Z,SYSTEM
8b1d4b6d-2c5f-4c1c-ac20-e6a6e022f5b8,1a2b3c4d-55ee-4a44-8899-abcde0001001,1,"Origins of the Cosmos",24,2025-01-01T10:05:00Z,SYSTEM,2025-01-01T10:05:00Z,SYSTEM
8b1d4b6d-2c5f-4c1c-ac20-e6a6e022f5b8,1a2b3c4d-55ee-4a44-8899-abcde0001002,2,"From Stars to Galaxies",26,2025-01-01T10:05:00Z,SYSTEM,2025-01-01T10:05:00Z,SYSTEM
8b1d4b6d-2c5f-4c1c-ac20-e6a6e022f5b8,1a2b3c4d-55ee-4a44-8899-abcde0001003,3,"The Future of Space Exploration",22,2025-01-01T10:05:00Z,SYSTEM,2025-01-01T10:05:00Z,SYSTEM
b3c97c1f-2e82-4c5d-9f63-45de1c72bb7d,2b3c4d5e-66ff-4b55-9911-bbcde0002001,1,"Understanding Fire",18,2025-01-01T10:10:00Z,SYSTEM,2025-01-01T10:10:00Z,SYSTEM
b3c97c1f-2e82-4c5d-9f63-45de1c72bb7d,2b3c4d5e-66ff-4b55-9911-bbcde0002002,2,"Flame Techniques",16,2025-01-01T10:10:00Z,SYSTEM,2025-01-01T10:10:00Z,SYSTEM
b3c97c1f-2e82-4c5d-9f63-45de1c72bb7d,2b3c4d5e-66ff-4b55-9911-bbcde0002003,3,"Mastering Heat Control",14,2025-01-01T10:10:00Z,SYSTEM,2025-01-01T10:10:00Z,SYSTEM
c4f87443-9b2d-4b6e-a1e1-a65d6f47a6c5,3c4d5e6f-77aa-49c9-8822-ccdfe0003001,1,"Northern Winds Rising",34,2025-01-01T10:15:00Z,SYSTEM,2025-01-01T10:15:00Z,SYSTEM
